NAME,MANUFACTURER,BRAND,SUFFIX,U_VALUE_W_M2K,G_VALUE,SOURCE,DATASHEET,LINK,COMMENTS
Rehau | 6/SB70(2)T/16Ar/10 EA(4)T,Rehau,6/SB70(2)T/16Ar/10 EA(4)T,,1.000,0.285,Manufacturer,161 EMERSON- EN.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/tDUYR-0kgeBDF1OF1szctw/7GWBFLCbshKCUhybQMty49lOWON5v_ZqLPiJqzINk3LhfwCgLihDM59i2gO-_Z_M8eBDvBElJ5D0zqFKH_8xYPZl2NYWn-HQ1G0THy7fechtYfITcUnn26KAs2ZkBVifJSF_bB99veV0AoeyWuI4R4VOs2CvCNyUgHMlvWK_3eA/u9y9F9SdLUrb7JNDjCHzRriZZ5SCArCWa2PfvcL9i4U),,Same for Bird Safe Glass
smartwin | 6SKN-18AR-4-18AR-4XN,smartwin,6SKN-18AR-4-18AR-4XN,,0.501,0.317,Manufacturer,Screenshot 2026-03-10 at 4.02.26 PM.png (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/375QNiIdEgpZUYpcg0PeaQ/UiluOF_GbDd0IVE0RuaZgiEdwSSxxN4kxzRoltmkN85IQ2s0yVbSaRp73Kga4M81yJdU7IC-Gf0ZPhv1KRxeSgbGKcv04sCgMRrthy-HFUUaEm3zGGZuM75gOttmXOh3W51zBrNp2t8EHPNYXnr9ZNpGtucyKbHx8qAv3G6gtmd5D_SNReN4AG8EZ-o9dhPg/3lN1R8Dj_63F-SgfBeoQ2evTmj8J9q8LPCCR-jI3QGs),,
"smartwin | 48mm 4 S,18 TGI,4,18 TGI,4 XN",smartwin,"48mm 4 S,18 TGI,4,18 TGI,4 XN",,0.508,0.399,Manufacturer,4 planitherm 4S-18TGI arg-4-18TGI arg-4XN Mid range SGHC.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/o8Iy1BOsn7cFAFIhqMR3Bw/BFiAqAs9xEsV8uKypeHWqs1WmSljvq3aovl-f3LLOD5Col8MEcLUMfp4iZkD5xEzL9sUlhh5c0A4yfkQ6zDFqY2l3WcHSW85yD3OH2uXJT_xe-mS7jY4t1S7SkeaHxVjCobz8oq4O3sv_3AoG7d-NGI99kb5p-koXL_Ky9lyQMoHvwX4NIOtkHDq4ZKGaJDl24pXfadKsQ6vd2VFzP1ggg/y8pJIZ-fK3fvr918YWC4r_2CUeLvq6cDEcgakEZUbQ8),,
"smartwin | 48mm 4 XN,18,4 ,18, XN4 (1.9 in)",smartwin,"48mm 4 XN,18,4 ,18, XN4 (1.9 in)",,0.499,0.317,,,,
"smartwin | 48mm ESG 4 XN,18,4 ESG,18, XN4 ESG (1.9 in)",smartwin,"48mm ESG 4 XN,18,4 ESG,18, XN4 ESG (1.9 in)",,0.499,0.317,,,,
"smartwin | 48mm ESG 6XN,16,6 ESG, 14, XN6 ESG (1.9 in)",smartwin,"48mm ESG 6XN,16,6 ESG, 14, XN6 ESG (1.9 in)",,0.499,0.317,,,,
Tishler | Double-Glazing,Tishler,Double-Glazing,,1.420,0.400,Manufacturer,,,NFRC Whole-Window U-Value
"Viking | 4/18/4/20/4 U-0.47, g 0.39",Viking,"4/18/4/20/4 U-0.47, g 0.39",,0.470,0.390,Manufacturer,,,
"Viking | 4/20/4/20/4 U-0.470, g-0.373",Viking,"4/20/4/20/4 U-0.470, g-0.373",,0.470,0.373,Manufacturer,Viking-data-for-phpp-2024-07-11 2.xlsx (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/LwPKnRHzxpPROK7IRxkJ9g/nhewYwc_Yb7KTNQ3R2XhWY2hD1Sgonxb7oQhYE0aWB516vI-Vytud5d5Tsbxqr9R8awX-zTEogf4uXpxcgr4OfGR6vcFkvq81fc7F4vituLCEENcNXzWJ5rsPslGx-QUF2KbRSmWYlxknLEFyDaXqy63baA3RbvPxRXGo_yFUukmU7YZzV7bimxjnBA-_NO7/JFkr66HfeRyHrWNfVux8-0Z2SL8QuzsSQWvjBabeDLY),,
"Viking | 33.1/16/4/18/4 U-0.499, g-0.38",Viking,"33.1/16/4/18/4 U-0.499, g-0.38",,0.499,0.380,Manufacturer,Viking-data-for-phpp-2024-07-11 2.xlsx (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/LwPKnRHzxpPROK7IRxkJ9g/nhewYwc_Yb7KTNQ3R2XhWY2hD1Sgonxb7oQhYE0aWB516vI-Vytud5d5Tsbxqr9R8awX-zTEogf4uXpxcgr4OfGR6vcFkvq81fc7F4vituLCEENcNXzWJ5rsPslGx-QUF2KbRSmWYlxknLEFyDaXqy63baA3RbvPxRXGo_yFUukmU7YZzV7bimxjnBA-_NO7/JFkr66HfeRyHrWNfVux8-0Z2SL8QuzsSQWvjBabeDLY),,
Wythe | Cardinal 5-272/12/5/12/180-5,Wythe,Cardinal 5-272/12/5/12/180-5,,0.549,0.384,Manufacturer,Longview (2).pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/4NuVXfG9cgLLh0UZ9hDoMw/BXfZCbzhC2D-Eh5C9bDHbky3228M0ujelHq5qi1AkjBnndIczxSqnStlDGsv1DntL4t7pKeiWGFOAoYmSsdAgtVHeR2FJABOsebVPxU5LibFKDCpic_rOGJ1HxrFHnDyYZGry2RO6fdGoF5Twi58k7Ml0IhKzB5TKu9HNZQY5dM/j73jK76ONMmCk_mlD8nlMHuHMqFiWc-eTONiVluvLGY),,
ZOLA | 4-18Ar-4-18Ar-4 | ClimaGuard 1.0,ZOLA,4-18Ar-4-18Ar-4,ClimaGuard 1.0,0.500,0.372,Manufacturer,2025-06-03_zola glass spend_4-4-4.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/azxXDDzUzGhIJVxKWnO8pA/_ShKVIYskuuq-MJiR8OX57xirVfurFQyWDcejq2uQCAwhIzYQALsnYOfdP7MyIHdJk-hsRFK1pnmyLfAjfDuUemIfKs9eURWIx_VkPT9TQaI6Ftgx34xiBYdQOFj-KUMl-VvMDbTKeyyk6naRMtyS4VS68C-JPeCKL8FIzdS6lAHBH3qx78VlAbi3Z5Yau5I/vG_0xwo-DCgFhOQFmFHdf9Oq253J4kXAw597TT9LOS0),,Guardian
"Viking | 6/16/4/18/4 U-0.525, g-0.34",Viking,"6/16/4/18/4 U-0.525, g-0.34",,0.525,0.341,Manufacturer,3k 48 mm 6SKN176 tgh  - 4 - 4 LowE tgh; 16&18mm Ar90%.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/nVDFaf9ClXfBPLQCLvZW8A/FS_aLrS2yn2FWTue2KKVZMNZEErJ_2FFtNQ5eaAZ3H7BAwhFHmrJJbjrXpBtf8gSz3AnjDbgyvt5XuU0-ZbqoSngVljP1SpZfpP5qrJ58-DjcN8ay31e58uAnD9yo-yEZoddgp-l_Rbn_FgTOyAf34x89WAfvJVtXxh9l3gdL6LsHCUBEHbpkiXme2yVogML/Vcjua7nlzagggEMoqwZXR-X9Ft9hLQ3Jm_ef-zgYzvc),,
"Viking | 6/18/4/20/4 U-0.493, g-0.34",Viking,"6/18/4/20/4 U-0.493, g-0.34",,0.493,0.341,Manufacturer,3k 52 mm 6SKN176 tgh  - 4 - 4 LowE tgh; 18&20mm Ar90%.pdf (https://v5.airtableusercontent.com/v3/u/54/54/1780603200000/WvDRC_2WU3HPQ0BKTr1SGA/ENMp8Vqi9lt82kjSny_03Q5pcwC62zmThCaVc1m8MivoRJ1cjQkomDlsdb0iYtIrI82EYN7BQcfJUNxxpY-kZ8Cj7yetpWDrYlswJkQ6ajWMj3B8ymeF2dG7iKsDvm4ZyQxN7s_ELrwNQkX3GI35Xqgf4zp2Y0zj8kkXjzrfz14xDAmG6DNnpMuJDovLadSL/mtJ4KWL5GA-_uZFqILopTpMvYzXMycPRD-_q2YlWe9g),,
